Started sim OpenDominion\Sim\Merfolk\LowSchoolsRr\Sim at 2021-07-06 13:09:19
Tick 924 (day 42 hr 12): 6116			 op: 0;	dp: 469024;	u1: 0;	u2: 5557 (0);	u3: 50573 (0);	u4: 0 (0);	peas: 73087
Tick 936 (day 43 hr 0): 6225			 op: 0;	dp: 475437;	u1: 0;	u2: 5557 (0);	u3: 50573 (0);	u4: 0 (0);	peas: 74825
Tick 948 (day 43 hr 12): 6317			 op: 0;	dp: 481145;	u1: 0;	u2: 5557 (0);	u3: 50573 (0);	u4: 0 (0);	peas: 77146
Tick 960 (day 44 hr 0): 6425			 op: 0;	dp: 487373;	u1: 0;	u2: 5557 (0);	u3: 50573 (0);	u4: 0 (0);	peas: 78910
Tick 972 (day 44 hr 12): 6517			 op: 0;	dp: 492673;	u1: 0;	u2: 5557 (0);	u3: 50573 (0);	u4: 0 (0);	peas: 81263
Tick 984 (day 45 hr 0): 6624			 op: 0;	dp: 498382;	u1: 0;	u2: 5557 (0);	u3: 50573 (0);	u4: 0 (0);	peas: 83014
Tick 996 (day 45 hr 12): 6715			 op: 0;	dp: 503460;	u1: 0;	u2: 5557 (0);	u3: 50573 (0);	u4: 0 (0);	peas: 85336
Tick 1008 (day 46 hr 0): 6821			 op: 0;	dp: 508724;	u1: 0;	u2: 5557 (0);	u3: 50573 (0);	u4: 0 (0);	peas: 87092
Tick 1020 (day 46 hr 12): 6912			 op: 0;	dp: 513432;	u1: 0;	u2: 5557 (0);	u3: 50573 (0);	u4: 0 (0);	peas: 89411
Tick 1032 (day 47 hr 0): 7018			 op: 0;	dp: 518510;	u1: 0;	u2: 5557 (0);	u3: 50573 (0);	u4: 0 (0);	peas: 91166
Tick 1044 (day 47 hr 12): 7109			 op: 0;	dp: 522699;	u1: 0;	u2: 5557 (0);	u3: 50573 (0);	u4: 0 (0);	peas: 93441
Tick 1056 (day 48 hr 0): 7215			 op: 0;	dp: 527666;	u1: 0;	u2: 5557 (0);	u3: 50573 (0);	u4: 0 (0);	peas: 95208
Tick 1068 (day 48 hr 12): 7305			 op: 0;	dp: 531817;	u1: 0;	u2: 5557 (0);	u3: 50573 (0);	u4: 0 (0);	peas: 97497
Tick 1080 (day 49 hr 0): 7411			 op: 0;	dp: 536340;	u1: 0;	u2: 5557 (0);	u3: 50573 (0);	u4: 0 (0);	peas: 99281
Tick 1092 (day 49 hr 12): 7500			 op: 0;	dp: 541119;	u1: 0;	u2: 5557 (0);	u3: 50649 (0);	u4: 0 (0);	peas: 101476
Tick 1104 (day 50 hr 0): 7585			 op: 0;	dp: 545685;	u1: 0;	u2: 5557 (0);	u3: 50649 (0);	u4: 0 (0);	peas: 102402
