Started sim OpenDominion\Sim\Merfolk\Masons\Sim at 2021-07-06 20:51:08
Tick 636 (day 30 hr 12): 4505			 op: 0;	dp: 238811;	u1: 0;	u2: 5562 (0);	u3: 24222 (422);	u4: 0 (0);	peas: 85642
Tick 648 (day 31 hr 0): 4608			 op: 0;	dp: 239108;	u1: 0;	u2: 5562 (0);	u3: 24644 (0);	u4: 0 (0);	peas: 88367
Tick 660 (day 31 hr 12): 4711			 op: 0;	dp: 247819;	u1: 0;	u2: 5562 (0);	u3: 24736 (835);	u4: 0 (0);	peas: 90591
Tick 672 (day 32 hr 0): 4796			 op: 0;	dp: 248193;	u1: 0;	u2: 5562 (0);	u3: 25571 (0);	u4: 0 (0);	peas: 93175
Tick 684 (day 32 hr 12): 4904			 op: 0;	dp: 257257;	u1: 0;	u2: 5562 (0);	u3: 25650 (888);	u4: 0 (0);	peas: 95211
Tick 696 (day 33 hr 0): 4987			 op: 0;	dp: 257696;	u1: 0;	u2: 5562 (0);	u3: 26538 (0);	u4: 0 (0);	peas: 97745
Tick 708 (day 33 hr 12): 5094			 op: 0;	dp: 280169;	u1: 0;	u2: 5562 (0);	u3: 26638 (2422);	u4: 0 (0);	peas: 98217
Tick 720 (day 34 hr 0): 5128			 op: 0;	dp: 281182;	u1: 0;	u2: 5562 (0);	u3: 29060 (0);	u4: 0 (0);	peas: 100117
Tick 732 (day 34 hr 12): 5243			 op: 0;	dp: 304663;	u1: 0;	u2: 5562 (0);	u3: 29164 (2609);	u4: 0 (0);	peas: 100128
Tick 744 (day 35 hr 0): 5264			 op: 0;	dp: 308133;	u1: 0;	u2: 5562 (0);	u3: 32041 (0);	u4: 0 (0);	peas: 101673
Tick 756 (day 35 hr 12): 5379			 op: 0;	dp: 318676;	u1: 0;	u2: 5562 (0);	u3: 32192 (1082);	u4: 0 (0);	peas: 102810
Tick 768 (day 36 hr 0): 5458			 op: 0;	dp: 319000;	u1: 0;	u2: 5562 (0);	u3: 33274 (0);	u4: 0 (0);	peas: 105471
Tick 780 (day 36 hr 12): 5563			 op: 0;	dp: 329680;	u1: 0;	u2: 5562 (0);	u3: 33375 (1043);	u4: 0 (0);	peas: 107167
Tick 792 (day 37 hr 0): 5645			 op: 0;	dp: 330126;	u1: 0;	u2: 5562 (0);	u3: 34418 (0);	u4: 0 (0);	peas: 109774
Tick 804 (day 37 hr 12): 5749			 op: 0;	dp: 340578;	u1: 0;	u2: 5562 (0);	u3: 34520 (1042);	u4: 0 (0);	peas: 111509
Tick 816 (day 38 hr 0): 5832			 op: 0;	dp: 340969;	u1: 0;	u2: 5562 (0);	u3: 35562 (0);	u4: 0 (0);	peas: 114084
Tick 828 (day 38 hr 12): 5935			 op: 0;	dp: 352852;	u1: 0;	u2: 5562 (0);	u3: 35665 (933);	u4: 0 (0);	peas: 115425
Tick 840 (day 39 hr 0): 6021			 op: 0;	dp: 357034;	u1: 0;	u2: 5562 (0);	u3: 36598 (0);	u4: 0 (0);	peas: 116986
Tick 852 (day 39 hr 12): 6122			 op: 0;	dp: 364634;	u1: 0;	u2: 5562 (0);	u3: 36734 (375);	u4: 0 (0);	peas: 118780
Tick 864 (day 40 hr 0): 6223			 op: 0;	dp: 368249;	u1: 0;	u2: 5562 (0);	u3: 37109 (0);	u4: 0 (0);	peas: 120618
Tick 876 (day 40 hr 12): 6320			 op: 0;	dp: 375598;	u1: 0;	u2: 5562 (0);	u3: 37234 (312);	u4: 0 (0);	peas: 122385
Tick 888 (day 41 hr 0): 6423			 op: 0;	dp: 379058;	u1: 0;	u2: 5562 (0);	u3: 37546 (0);	u4: 0 (0);	peas: 124233
Tick 900 (day 41 hr 12): 6518			 op: 0;	dp: 386278;	u1: 0;	u2: 5562 (0);	u3: 37666 (297);	u4: 0 (0);	peas: 126072
Tick 912 (day 42 hr 0): 6620			 op: 0;	dp: 389480;	u1: 0;	u2: 5562 (0);	u3: 37963 (0);	u4: 0 (0);	peas: 127887
Tick 924 (day 42 hr 12): 6715			 op: 0;	dp: 396611;	u1: 0;	u2: 5562 (0);	u3: 38076 (310);	u4: 0 (0);	peas: 129682
Tick 936 (day 43 hr 0): 6816			 op: 0;	dp: 399649;	u1: 0;	u2: 5562 (0);	u3: 38386 (0);	u4: 0 (0);	peas: 131496
Tick 948 (day 43 hr 12): 6910			 op: 0;	dp: 406958;	u1: 0;	u2: 5562 (0);	u3: 38502 (364);	u4: 0 (0);	peas: 133166
Tick 960 (day 44 hr 0): 7010			 op: 0;	dp: 409956;	u1: 0;	u2: 5562 (0);	u3: 38866 (0);	u4: 0 (0);	peas: 135015
Tick 972 (day 44 hr 12): 7105			 op: 0;	dp: 412630;	u1: 0;	u2: 5562 (0);	u3: 38866 (0);	u4: 0 (0);	peas: 137190
Tick 984 (day 45 hr 0): 7215			 op: 0;	dp: 415254;	u1: 0;	u2: 5562 (0);	u3: 38866 (0);	u4: 0 (0);	peas: 139214
Tick 996 (day 45 hr 12): 7310			 op: 0;	dp: 418153;	u1: 0;	u2: 5562 (0);	u3: 38866 (0);	u4: 0 (0);	peas: 141320
Tick 1008 (day 46 hr 0): 7420			 op: 0;	dp: 420676;	u1: 0;	u2: 5562 (0);	u3: 38866 (0);	u4: 0 (0);	peas: 143322
Tick 1020 (day 46 hr 12): 7512			 op: 0;	dp: 426092;	u1: 0;	u2: 5562 (0);	u3: 39006 (110);	u4: 0 (0);	peas: 145190
Tick 1032 (day 47 hr 0): 7619			 op: 0;	dp: 428179;	u1: 0;	u2: 5562 (0);	u3: 39116 (0);	u4: 0 (0);	peas: 147202
Tick 1044 (day 47 hr 12): 7711			 op: 0;	dp: 439112;	u1: 0;	u2: 5562 (0);	u3: 39245 (680);	u4: 0 (0);	peas: 148514
Tick 1056 (day 48 hr 0): 7805			 op: 0;	dp: 441623;	u1: 0;	u2: 5562 (0);	u3: 39925 (0);	u4: 0 (0);	peas: 150247
Tick 1068 (day 48 hr 12): 7899			 op: 0;	dp: 452435;	u1: 0;	u2: 5562 (0);	u3: 40091 (685);	u4: 0 (0);	peas: 151529
Tick 1080 (day 49 hr 0): 7993			 op: 0;	dp: 454212;	u1: 0;	u2: 5562 (0);	u3: 40776 (0);	u4: 0 (0);	peas: 153475
Tick 1092 (day 49 hr 12): 8086			 op: 0;	dp: 459592;	u1: 0;	u2: 5562 (0);	u3: 40941 (323);	u4: 0 (0);	peas: 155585
Tick 1104 (day 50 hr 0): 8167			 op: 0;	dp: 459830;	u1: 0;	u2: 5562 (0);	u3: 41264 (0);	u4: 0 (0);	peas: 156754
