Started sim OpenDominion\Sim\Merfolk\LowSchools\Sim at 2021-07-06 12:52:49
Tick 648 (day 31 hr 0): 4113			 op: 0;	dp: 278323;	u1: 0;	u2: 5557 (0);	u3: 29381 (0);	u4: 0 (0);	peas: 53705
Tick 660 (day 31 hr 12): 4213			 op: 0;	dp: 288379;	u1: 0;	u2: 5557 (0);	u3: 29479 (1047);	u4: 0 (0);	peas: 55190
Tick 672 (day 32 hr 0): 4288			 op: 0;	dp: 289024;	u1: 0;	u2: 5557 (0);	u3: 30526 (0);	u4: 0 (0);	peas: 56295
Tick 684 (day 32 hr 12): 4396			 op: 0;	dp: 299120;	u1: 0;	u2: 5557 (0);	u3: 30629 (1052);	u4: 0 (0);	peas: 57893
Tick 696 (day 33 hr 0): 4472			 op: 0;	dp: 299883;	u1: 0;	u2: 5557 (0);	u3: 31681 (0);	u4: 0 (0);	peas: 59023
Tick 708 (day 33 hr 12): 4580			 op: 0;	dp: 321624;	u1: 0;	u2: 5557 (0);	u3: 31798 (2396);	u4: 0 (0);	peas: 59356
Tick 720 (day 34 hr 0): 4600			 op: 0;	dp: 327749;	u1: 0;	u2: 5557 (0);	u3: 34465 (222);	u4: 0 (0);	peas: 58954
Tick 732 (day 34 hr 12): 4707			 op: 0;	dp: 350486;	u1: 0;	u2: 5557 (0);	u3: 34867 (2423);	u4: 0 (0);	peas: 59081
Tick 744 (day 35 hr 0): 4727			 op: 0;	dp: 359535;	u1: 0;	u2: 5557 (0);	u3: 37563 (581);	u4: 0 (0);	peas: 58425
Tick 756 (day 35 hr 12): 4819			 op: 0;	dp: 371504;	u1: 0;	u2: 5557 (0);	u3: 38309 (1204);	u4: 0 (0);	peas: 59471
Tick 768 (day 36 hr 0): 4892			 op: 0;	dp: 371475;	u1: 0;	u2: 5557 (0);	u3: 39513 (0);	u4: 0 (0);	peas: 60817
Tick 780 (day 36 hr 12): 4996			 op: 0;	dp: 384521;	u1: 0;	u2: 5557 (0);	u3: 39637 (1361);	u4: 0 (0);	peas: 61936
Tick 792 (day 37 hr 0): 5064			 op: 0;	dp: 384187;	u1: 0;	u2: 5557 (0);	u3: 40998 (0);	u4: 0 (0);	peas: 63242
Tick 804 (day 37 hr 12): 5168			 op: 0;	dp: 397397;	u1: 0;	u2: 5557 (0);	u3: 41143 (1336);	u4: 0 (0);	peas: 64395
Tick 816 (day 38 hr 0): 5238			 op: 0;	dp: 397209;	u1: 0;	u2: 5557 (0);	u3: 42479 (0);	u4: 0 (0);	peas: 65714
Tick 828 (day 38 hr 12): 5343			 op: 0;	dp: 413065;	u1: 0;	u2: 5557 (0);	u3: 42621 (1214);	u4: 0 (0);	peas: 66969
Tick 840 (day 39 hr 0): 5419			 op: 0;	dp: 420991;	u1: 0;	u2: 5557 (0);	u3: 43835 (0);	u4: 0 (0);	peas: 68346
Tick 852 (day 39 hr 12): 5522			 op: 0;	dp: 426482;	u1: 0;	u2: 5557 (0);	u3: 43990 (20);	u4: 0 (0);	peas: 70718
Tick 864 (day 40 hr 0): 5635			 op: 0;	dp: 433692;	u1: 0;	u2: 5557 (0);	u3: 44010 (0);	u4: 0 (0);	peas: 72682
Tick 876 (day 40 hr 12): 5732			 op: 0;	dp: 440910;	u1: 0;	u2: 5557 (0);	u3: 44100 (0);	u4: 0 (0);	peas: 75071
Tick 888 (day 41 hr 0): 5846			 op: 0;	dp: 447222;	u1: 0;	u2: 5557 (0);	u3: 44100 (0);	u4: 0 (0);	peas: 77113
