Started sim OpenDominion\Sim\Merfolk\MasonsSchoolsRr\Sim at 2021-07-06 22:28:36
Tick 816 (day 38 hr 0): 5761			 op: 0;	dp: 394010;	u1: 0;	u2: 3324 (0);	u3: 36633 (0);	u4: 0 (0);	peas: 110528
Tick 828 (day 38 hr 12): 5875			 op: 0;	dp: 408191;	u1: 0;	u2: 3324 (0);	u3: 36758 (896);	u4: 0 (0);	peas: 112009
Tick 840 (day 39 hr 0): 5969			 op: 0;	dp: 413662;	u1: 0;	u2: 3324 (0);	u3: 37654 (0);	u4: 0 (0);	peas: 113801
Tick 852 (day 39 hr 12): 6081			 op: 0;	dp: 421738;	u1: 0;	u2: 3324 (0);	u3: 37767 (300);	u4: 0 (0);	peas: 115771
Tick 864 (day 40 hr 0): 6193			 op: 0;	dp: 426687;	u1: 0;	u2: 3324 (0);	u3: 38067 (0);	u4: 0 (0);	peas: 117800
Tick 876 (day 40 hr 12): 6299			 op: 0;	dp: 434281;	u1: 0;	u2: 3324 (0);	u3: 38198 (185);	u4: 0 (0);	peas: 119824
Tick 888 (day 41 hr 0): 6414			 op: 0;	dp: 438460;	u1: 0;	u2: 3324 (0);	u3: 38383 (0);	u4: 0 (0);	peas: 121922
Tick 900 (day 41 hr 12): 6518			 op: 0;	dp: 446498;	u1: 0;	u2: 3324 (0);	u3: 38522 (213);	u4: 0 (0);	peas: 123880
Tick 912 (day 42 hr 0): 6631			 op: 0;	dp: 450518;	u1: 0;	u2: 3324 (0);	u3: 38735 (0);	u4: 0 (0);	peas: 125968
Tick 924 (day 42 hr 12): 6735			 op: 0;	dp: 458828;	u1: 0;	u2: 3324 (0);	u3: 38850 (254);	u4: 0 (0);	peas: 127871
Tick 936 (day 43 hr 0): 6846			 op: 0;	dp: 462261;	u1: 0;	u2: 3324 (0);	u3: 39104 (0);	u4: 0 (0);	peas: 129951
Tick 948 (day 43 hr 12): 6949			 op: 0;	dp: 470800;	u1: 0;	u2: 3324 (0);	u3: 39218 (293);	u4: 0 (0);	peas: 131789
