Started sim OpenDominion\Sim\Merfolk\AlchDm\Sim at 2021-07-06 12:20:49
Tick 900 (day 41 hr 12): 6368			 op: 0;	dp: 452253;	u1: 0;	u2: 5565 (0);	u3: 44483 (0);	u4: 0 (0);	peas: 98885
Tick 912 (day 42 hr 0): 6475			 op: 0;	dp: 457502;	u1: 0;	u2: 5565 (0);	u3: 44483 (0);	u4: 0 (0);	peas: 100756
Tick 924 (day 42 hr 12): 6563			 op: 0;	dp: 464008;	u1: 0;	u2: 5565 (0);	u3: 44627 (0);	u4: 0 (0);	peas: 102807
Tick 936 (day 43 hr 0): 6670			 op: 0;	dp: 468714;	u1: 0;	u2: 5565 (0);	u3: 44627 (0);	u4: 0 (0);	peas: 104711
Tick 948 (day 43 hr 12): 6757			 op: 0;	dp: 475656;	u1: 0;	u2: 5565 (0);	u3: 44780 (69);	u4: 0 (0);	peas: 106765
Tick 960 (day 44 hr 0): 6860			 op: 0;	dp: 480219;	u1: 0;	u2: 5565 (0);	u3: 44849 (0);	u4: 0 (0);	peas: 108564
Tick 972 (day 44 hr 12): 6950			 op: 0;	dp: 484385;	u1: 0;	u2: 5565 (0);	u3: 44849 (0);	u4: 0 (0);	peas: 110808
Tick 984 (day 45 hr 0): 7057			 op: 0;	dp: 488914;	u1: 0;	u2: 5565 (0);	u3: 44849 (0);	u4: 0 (0);	peas: 112668
Tick 996 (day 45 hr 12): 7148			 op: 0;	dp: 493114;	u1: 0;	u2: 5565 (0);	u3: 44849 (0);	u4: 0 (0);	peas: 114982
Tick 1008 (day 46 hr 0): 7253			 op: 0;	dp: 497280;	u1: 0;	u2: 5565 (0);	u3: 44849 (0);	u4: 0 (0);	peas: 116880
Tick 1020 (day 46 hr 12): 7343			 op: 0;	dp: 501346;	u1: 0;	u2: 5565 (0);	u3: 44849 (0);	u4: 0 (0);	peas: 119119
Tick 1032 (day 47 hr 0): 7448			 op: 0;	dp: 505248;	u1: 0;	u2: 5565 (0);	u3: 44849 (0);	u4: 0 (0);	peas: 120970
Tick 1044 (day 47 hr 12): 7534			 op: 0;	dp: 511968;	u1: 0;	u2: 5565 (0);	u3: 45041 (88);	u4: 0 (0);	peas: 122903
Tick 1056 (day 48 hr 0): 7636			 op: 0;	dp: 515560;	u1: 0;	u2: 5565 (0);	u3: 45129 (0);	u4: 0 (0);	peas: 124742
Tick 1068 (day 48 hr 12): 7723			 op: 0;	dp: 526871;	u1: 0;	u2: 5565 (0);	u3: 45296 (558);	u4: 0 (0);	peas: 126215
Tick 1080 (day 49 hr 0): 7815			 op: 0;	dp: 528593;	u1: 0;	u2: 5565 (0);	u3: 45854 (0);	u4: 0 (0);	peas: 127839
Tick 1092 (day 49 hr 12): 7902			 op: 0;	dp: 534417;	u1: 0;	u2: 5565 (0);	u3: 46068 (305);	u4: 0 (0);	peas: 129593
Tick 1104 (day 50 hr 0): 7979			 op: 0;	dp: 534519;	u1: 0;	u2: 5565 (0);	u3: 46373 (0);	u4: 0 (0);	peas: 130197
