Started sim OpenDominion\Sim\Firewalker\Alchs\Sim at 2021-03-04 22:52:40
Tick 804 (day 37 hr 12): 6192			 op: 0;	dp: 408351;	u1: 0;	u2: 15578;	u3: 64486;	u4: 0;	peas: 52290
Tick 816 (day 38 hr 0): 6299			 op: 0;	dp: 408498;	u1: 0;	u2: 15578;	u3: 64486;	u4: 0;	peas: 54162
Tick 828 (day 38 hr 12): 6386			 op: 0;	dp: 409677;	u1: 0;	u2: 15578;	u3: 64679;	u4: 0;	peas: 54383
Tick 840 (day 39 hr 0): 6462			 op: 0;	dp: 421033;	u1: 0;	u2: 15578;	u3: 66649;	u4: 0;	peas: 55594
Tick 852 (day 39 hr 12): 6552			 op: 0;	dp: 422691;	u1: 0;	u2: 15578;	u3: 67031;	u4: 0;	peas: 52862
Tick 864 (day 40 hr 0): 6576			 op: 0;	dp: 449638;	u1: 0;	u2: 15578;	u3: 72156;	u4: 0;	peas: 53144
Tick 876 (day 40 hr 12): 6677			 op: 0;	dp: 450150;	u1: 0;	u2: 15578;	u3: 72156;	u4: 0;	peas: 55705
Tick 888 (day 41 hr 0): 6782			 op: 0;	dp: 449913;	u1: 0;	u2: 15578;	u3: 72156;	u4: 0;	peas: 57581
Tick 900 (day 41 hr 12): 6871			 op: 0;	dp: 450062;	u1: 0;	u2: 15578;	u3: 72156;	u4: 0;	peas: 59927
Tick 912 (day 42 hr 0): 6979			 op: 0;	dp: 450693;	u1: 0;	u2: 15578;	u3: 72156;	u4: 0;	peas: 61682
Tick 924 (day 42 hr 12): 7064			 op: 0;	dp: 460136;	u1: 0;	u2: 15578;	u3: 72548;	u4: 0;	peas: 58264
Tick 936 (day 43 hr 0): 7084			 op: 0;	dp: 497207;	u1: 0;	u2: 15578;	u3: 78471;	u4: 0;	peas: 58182
Tick 948 (day 43 hr 12): 7182			 op: 0;	dp: 497695;	u1: 0;	u2: 15578;	u3: 78577;	u4: 0;	peas: 60719
Tick 960 (day 44 hr 0): 7286			 op: 0;	dp: 504636;	u1: 0;	u2: 15578;	u3: 78577;	u4: 0;	peas: 62525
